symbol,quotedate,expiration,entry_date,entry_stock_price,put_entry_delta,put_entry_mid,put_exit_mid,put_profit
A,2012-02-17,2012-02-17,2012-01-24,42.6,-0.1446,0.37,0.015,0.355
A,2012-06-15,2012-06-15,2012-05-24,41.02,-0.15610000000000002,0.36,0.01,0.35
A,2012-11-16,2012-11-16,2012-10-23,35.51,-0.1922,0.335,0.01,0.325
A,2013-08-16,2013-08-16,2013-07-23,46.47,-0.1689,0.355,0.005,0.35
A,2013-09-20,2013-09-20,2013-08-27,46.97,-0.1605,0.27,0.005,0.265
A,2014-02-21,2014-02-21,2014-01-30,59.51,-0.1784,0.52,0.005,0.515
A,2014-02-21,2014-02-21,2014-02-03,56.15,-0.1086,0.28,0.01,0.27
A,2014-06-20,2014-06-20,2014-06-04,57.45,-0.1699,0.235,0.005,0.22999999999999998
A,2014-07-18,2014-07-18,2014-07-01,58.25,-0.129,0.175,0.025,0.15
A,2014-08-15,2014-08-15,2014-07-09,56.900000000000006,-0.1832,0.505,0.025,0.48
A,2015-04-17,2015-04-17,2015-03-31,41.53,-0.2088,0.215,0.075,0.14
A,2015-05-15,2015-05-15,2015-04-08,42.26,-0.1202,0.21500000000000002,0.025,0.19000000000000003
A,2015-08-21,2015-08-21,2015-08-03,41,-0.1366,0.185,1.115,-0.9299999999999999
A,2015-10-16,2015-10-16,2015-09-03,35.75,-0.14150000000000001,0.28,0.23,0.05000000000000002
A,2015-10-16,2015-10-16,2015-09-11,35.96,-0.1384,0.265,0.23,0.035
A,2015-11-20,2015-11-20,2015-10-12,35.99,-0.1307,0.26,0.135,0.125
A,2016-02-19,2016-02-19,2016-01-06,40.730000000000004,-0.1384,0.35,0.005,0.345
A,2017-04-21,2017-04-21,2017-03-06,51.25,-0.1487,0.29000000000000004,0.14,0.15000000000000002
A,2017-05-19,2017-05-19,2017-04-18,53.03,-0.1757,0.29000000000000004,0.025,0.265
A,2017-06-16,2017-06-16,2017-05-15,56.7,-0.1378,0.26,0.015,0.245
A,2018-03-16,2018-03-16,2018-02-20,71.08,-0.20270000000000002,0.52,0.03,0.49
A,2018-08-17,2018-08-17,2018-07-18,62.99,-0.1439,0.42000000000000004,0.05,0.37000000000000005
A,2018-08-17,2018-08-17,2018-07-26,66.75,-0.1652,0.42000000000000004,0.02,0.4
A,2012-06-15,2012-06-15,2012-05-17,39.63,-0.1573,0.445,0.015,0.43
A,2012-06-15,2012-06-15,2012-05-21,39.99,-0.1623,0.395,0.02,0.375
A,2012-10-19,2012-10-19,2012-09-11,37.83,-0.14850000000000002,0.31500000000000006,0.005,0.31000000000000005
A,2012-11-16,2012-11-16,2012-10-12,37.22,-0.1754,0.37,0.01,0.36
A,2012-12-21,2012-12-21,2012-11-16,35.81,-0.159,0.365,0.005,0.36
A,2013-04-19,2013-04-19,2013-03-25,41.13,-0.133,0.2,0.005,0.195
A,2013-09-20,2013-09-20,2013-08-28,46.74,-0.1706,0.275,0.005,0.27
A,2014-01-17,2014-01-17,2013-12-23,57.54,-0.0979,0.18,0.005,0.175
A,2014-01-17,2014-01-17,2013-12-27,57.17,-0.1169,0.15,0.005,0.145
A,2014-02-21,2014-02-21,2014-01-27,58.300000000000004,-0.1252,0.33999999999999997,0.01,0.32999999999999996
A,2014-06-20,2014-06-20,2014-05-28,57.11,-0.219,0.355,0.005,0.35
A,2015-04-17,2015-04-17,2015-03-24,41.09,-0.0883,0.075,0.025,0.049999999999999996
A,2015-05-15,2015-05-15,2015-04-01,41.39,-0.1651,0.35500000000000004,0.025,0.33
A,2015-06-19,2015-06-19,2015-05-06,41.59,-0.132,0.23500000000000001,0.05,0.185
A,2015-09-18,2015-09-18,2015-08-27,36.64,-0.1595,0.235,0.245,-0.010000000000000009
A,2015-10-16,2015-10-16,2015-09-04,35.06,-0.1315,0.25,0.23,0.01999999999999999
A,2016-03-18,2016-03-18,2016-02-03,37.19,-0.1597,0.44,0.125,0.315
A,2016-07-15,2016-07-15,2016-06-03,45.72,-0.16110000000000002,0.29000000000000004,0.005,0.28500000000000003
A,2016-09-16,2016-09-16,2016-08-08,47.230000000000004,-0.1527,0.305,0.125,0.18
A,2016-09-16,2016-09-16,2016-08-12,48.14,-0.18080000000000002,0.35,0.21500000000000002,0.13499999999999995
A,2017-04-21,2017-04-21,2017-04-03,53.2,-0.155,0.17,0.025,0.14500000000000002
A,2017-06-16,2017-06-16,2017-05-12,56.160000000000004,-0.17020000000000002,0.34500000000000003,0.015,0.33
A,2017-10-20,2017-10-20,2017-09-14,65.68,-0.19720000000000001,0.39,0.01,0.38
A,2017-11-17,2017-11-17,2017-10-11,66.62,-0.1781,0.44,0.005,0.435
A,2018-03-16,2018-03-16,2018-02-13,68.34,-0.1018,0.32,0.05,0.27
A,2018-04-20,2018-04-20,2018-03-20,69.85000000000001,-0.1535,0.405,0.005,0.4
A,2012-02-17,2012-02-17,2012-01-17,39.99,-0.1568,0.485,0.015,0.47
A,2012-07-20,2012-07-20,2012-06-21,39.12,-0.147,0.33,0.005,0.325
A,2012-11-16,2012-11-16,2012-10-16,37.910000000000004,-0.1854,0.365,0.01,0.355
A,2012-12-21,2012-12-21,2012-11-20,36.28,-0.194,0.31000000000000005,0.005,0.30500000000000005
A,2013-04-19,2013-04-19,2013-03-21,41.65,-0.1726,0.28,0.005,0.275
A,2013-09-20,2013-09-20,2013-08-16,46.79,-0.1341,0.245,0.005,0.24
A,2013-09-20,2013-09-20,2013-08-20,47.03,-0.1642,0.29000000000000004,0.005,0.28500000000000003
A,2014-01-17,2014-01-17,2013-12-19,57.38,-0.1188,0.25,0.005,0.245
A,2014-02-21,2014-02-21,2014-01-23,59.47,-0.176,0.505,0.005,0.5
A,2014-06-20,2014-06-20,2014-05-20,54.31,-0.0981,0.15000000000000002,0.02,0.13000000000000003
A,2014-08-15,2014-08-15,2014-07-02,58.050000000000004,-0.1526,0.42000000000000004,0.025,0.395
A,2014-11-21,2014-11-21,2014-10-23,53.71,-0.1388,0.385,4.5,-4.115
